,Country,CRI_2021,Income_Group,angle,End_angle,Start_angle,Mid,C_End_angle,C_Start_angle,Median
112,Morocco,79.67,LM,1.6071428571,225,223.3928571429,224.1964285714,,,
96,El Salvador,91.83,LM,1.6071428571,226.6071428571,225,225.8035714286,,,
98,Georgia,93.17,LM,1.6071428571,228.2142857143,226.6071428571,227.4107142857,,,
95,Egypt,102,LM,1.6071428571,229.8214285714,228.2142857143,229.0178571429,,,
93,Cote d'Ivoire,111.67,LM,1.6071428571,231.4285714286,229.8214285714,230.625,,,
122,Tunisia,118,LM,1.6071428571,233.0357142857,231.4285714286,232.2321428571,,,
124,Uzbekistan,118,LM,1.6071428571,234.6428571429,233.0357142857,233.8392857143,,,
110,Moldova,118,LM,1.6071428571,236.25,234.6428571429,235.4464285714,,,
119,Solomon Islands,118,LM,1.6071428571,237.8571428571,236.25,237.0535714286,,,
109,Micronesia,118,LM,1.6071428571,239.4642857143,237.8571428571,238.6607142857,,,
105,Kyrgyz Republic,118,LM,1.6071428571,241.0714285714,239.4642857143,240.2678571429,,,
88,Bhutan,118,LM,1.6071428571,242.6785714286,241.0714285714,241.875,,,
181,Kosovo,118,LM,1.6071428571,244.2857142857,242.6785714286,243.4821428571,,,
92,Cape Verde,118,LM,1.6071428571,245.8928571429,244.2857142857,245.0892857143,,,
97,Eswatini,118,LM,1.6071428571,247.5,245.8928571429,246.6964285714,,,
104,Kiribati,118,LM,1.6071428571,249.1071428571,247.5,248.3035714286,,,
150,"Islamic Republic of
Iran",27,UM,1.6071428571,91.6071428571,90,90.8035714286,91.6071428571,90,
164,Paraguay,30,UM,1.6071428571,93.2142857143,91.6071428571,92.4107142857,93.2142857143,91.6071428571,
170,South Africa,32.5,UM,1.6071428571,94.8214285714,93.2142857143,94.0178571429,,,
136,Brazil,33.67,UM,1.6071428571,96.4285714286,94.8214285714,95.625,,,
139,Colombia,36.33,UM,1.6071428571,98.0357142857,96.4285714286,97.2321428571,,,
138,China,42.83,UM,1.6071428571,99.6428571429,98.0357142857,98.8392857143,,,
174,Thailand,43.17,UM,1.6071428571,101.25,99.6428571429,100.4464285714,,,
167,Russia,50.67,UM,1.6071428571,102.8571428571,101.25,102.0535714286,,,
154,Lebanon,54.67,UM,1.6071428571,104.4642857143,102.8571428571,103.6607142857,,,
165,Peru,56.33,UM,1.6071428571,106.0714285714,104.4642857143,105.2678571429,,,
134,"Bosnia and Herze-
govina",57.83,UM,1.6071428571,107.6785714286,106.0714285714,106.875,,,
160,Mexico,59.5,UM,1.6071428571,109.2857142857,107.6785714286,108.4821428571,,,
147,Guatemala,65.67,UM,1.6071428571,110.8928571429,109.2857142857,110.0892857143,,,
176,Turkey,66,UM,1.6071428571,112.5,110.8928571429,111.6964285714,,,
144,Fiji,73,UM,1.6071428571,114.1071428571,112.5,113.3035714286,,,
155,Libya,73.67,UM,1.6071428571,115.7142857143,114.1071428571,114.9107142857,,,
141,Dominica,77.67,UM,1.6071428571,117.3214285714,115.7142857143,116.5178571429,,,
161,Montenegro,78,UM,1.6071428571,118.9285714286,117.3214285714,118.125,,,
149,Iraq,84.33,UM,1.6071428571,120.5357142857,118.9285714286,119.7321428571,,,
156,Malaysia,87.33,UM,1.6071428571,122.1428571429,120.5357142857,121.3392857143,,,
169,Serbia,92,UM,1.6071428571,123.75,122.1428571429,122.9464285714,,,
157,Maldives,97.33,UM,1.6071428571,125.3571428571,123.75,124.5535714286,,,
162,Namibia,98.17,UM,1.6071428571,126.9642857143,125.3571428571,126.1607142857,,,
130,Armenia,98.17,UM,1.6071428571,128.5714285714,126.9642857143,127.7678571429,,,
135,Botswana,99.83,UM,1.6071428571,130.1785714286,128.5714285714,129.375,,,99.83
137,Bulgaria,101,UM,1.6071428571,131.7857142857,130.1785714286,130.9821428571,,,
143,Ecuador,103.83,UM,1.6071428571,133.3928571429,131.7857142857,132.5892857143,,,
166,Romania,104.5,UM,1.6071428571,135,133.3928571429,134.1964285714,,,
159,Mauritius,105.17,UM,1.6071428571,136.6071428571,135,135.8035714286,,,
129,Algeria,105.17,UM,1.6071428571,138.2142857143,136.6071428571,137.4107142857,,,
163,North Macedonia,118,UM,1.6071428571,139.8214285714,138.2142857143,139.0178571429,,,
158,Marshall Islands,118,UM,1.6071428571,141.4285714286,139.8214285714,140.625,,,
171,St. Lucia,118,UM,1.6071428571,143.0357142857,141.4285714286,142.2321428571,,,
168,Samoa,118,UM,1.6071428571,144.6428571429,143.0357142857,143.8392857143,,,
172,"St. Vincent and the
Grenadines",118,UM,1.6071428571,146.25,144.6428571429,145.4464285714,,,
173,Suriname,118,UM,1.6071428571,147.8571428571,146.25,147.0535714286,,,
175,Tonga,118,UM,1.6071428571,149.4642857143,147.8571428571,148.6607142857,,,
177,Tuvalu,118,UM,1.6071428571,151.0714285714,149.4642857143,150.2678571429,,,
178,Venezuela,118,UM,1.6071428571,152.6785714286,151.0714285714,151.875,,,
151,Jamaica,118,UM,1.6071428571,154.2857142857,152.6785714286,153.4821428571,,,
128,Albania,118,UM,1.6071428571,155.8928571429,154.2857142857,155.0892857143,,,
131,Azerbaijan,118,UM,1.6071428571,157.5,155.8928571429,156.6964285714,,,
132,Belarus,118,UM,1.6071428571,159.1071428571,157.5,158.3035714286,,,
133,Belize,118,UM,1.6071428571,160.7142857143,159.1071428571,159.9107142857,,,
142,Dominican Republic,118,UM,1.6071428571,162.3214285714,160.7142857143,161.5178571429,,,
146,Grenada,118,UM,1.6071428571,163.9285714286,162.3214285714,163.125,,,
148,Guyana,118,UM,1.6071428571,165.5357142857,163.9285714286,164.7321428571,,,
152,Jordan,118,UM,1.6071428571,167.1428571429,165.5357142857,166.3392857143,,,
153,Kazakhstan,118,UM,1.6071428571,168.75,167.1428571429,167.9464285714,,,
140,Costa Rica,118,UM,1.6071428571,170.3571428571,168.75,169.5535714286,,,
145,Gabon,118,UM,1.6071428571,171.9642857143,170.3571428571,171.1607142857,,,
,,79.2403278689,,,,,,,,
